Cód;ME;DiCo;DiCoFre;LATITUDE;LONGITUDE
HU0280;HU89C;1824;182403;40.69497;-8.22454
HU0281;HU89G;1824;182411;40.69994;-8.087204
HU0282;HU89I;1824;182409;40.695202;-8.048153
HU0283;HU89V;1810;181013;40.59633;-8.194655
HU0284;HU8AC;1824;182401;40.616996;-8.203591
HU0285;HU8AM;1824;182410;40.735167;-8.025359
HU0286;HU8AS;1824;182409;40.690944;-8.06325
HU0287;HU8AU;1824;;;
HU0288;HU90D;1824;;;
HU0289;HU90G;1824;182411;40.696925;-8.083383
HU0290;HU90I;1824;;;
HU0291;HU90S;1824;182413;40.665857;-8.165992
HU0292;HU90X;1824;182414;40.72781;-8.089397
HU0293;HU90Y;1824;182413;40.68456;-8.180057
HU0294;HU91C;1824;182403;40.692713;-8.224142
HU0295;HU91D;1824;182403;40.660957;-8.23252
HU0296;HU91H;1824;182415;40.71894;-8.115241
HU0297;HU92B;1824;182415;40.715193;-8.130818
HU0298;HU92D;1824;182403;40.66113;-8.235232
HU0299;HU92F;1824;182413;40.66938;-8.153635
HU0300;HU92U;1824;182415;40.70565;-8.131087
HU0301;HU93D;1824;;;
HU0302;HU93E;1824;182415;40.70591;-8.132178
HU0303;HU93Y;1824;182413;40.67784;-8.160659
HU0304;HU95E;1824;182415;40.707979;-8.129376
HU0305;HU95F;1824;182413;40.662053;-8.145442
HU0306;HU95K;1824;182415;40.71849;-8.117803
HU0307;HU95S;1824;182414;40.726354;-8.084059
HU0308;HU96C;1824;182403;40.698405;-8.225357
HU0309;HU97F;1824;182413;40.658351;-8.141147
HU0310;HU97G;1824;182411;40.70406;-8.088986
HU0311;HU97O;1824;;;
HU0312;HU98B;1824;;;
HU0313;HU98E;1824;;;
HU0314;HU98G;1824;;;
HU0315;HU98O;1824;182409;40.68946;-8.052609
HU0316;HU99B;1824;182403;40.630922;-8.231834
HU0317;HU99E;1824;182415;40.710034;-8.132161
HU0318;HU99G;1824;182411;40.69969;-8.083242
HU0319;HU9AA;1824;182403;40.63092;-8.231834
HU0320;HU9AB;1824;182411;40.70101;-8.080147
HU0321;HU9AR;1824;182403;40.680528;-8.2085
HU0322;HUA69;1824;182403;40.64712;-8.206901
HU0323;HUA88;1824;182401;40.61651;-8.18118
HU0324;HUB13;1824;182413;37.92726;-10.43133
HU0325;HUB26;1824;182411;40.70578;-8.090161
HU0326;HUB28;1824;;;
HU0327;HUB29;1824;182415;;
HU0328;HUB37;1824;182403;40.63662;-8.244193
HU0329;HUB39;1824;182403;;
HU0330;HUB69;1824;182413;40.659676;-8.144386
HU0331;HUC21;1824;182401;40.66131;-8.191641
HU0332;HUC34;1824;182413;40.664066;-8.15605
HU0333;HUC38;1824;;;
HU0334;HUC66;1824;182410;40.709576;-8.023603
HU0335;HUC96;1824;182403;40.64312;-8.228814
HU0336;HUD10;1824;182411;;
HU0337;HUD30;1824;182411;40.686931;-8.108725
HU0338;HUD53;1824;;;
HU0339;HUD57;1824;182401;40.61891;-8.174485
HU0340;HUD66;1824;;;
HU0341;HUD74;1824;182401;40.634209;-8.199363
HU0342;HUD95;1824;;;
HU0343;HUD96;1824;182413;40.68161;-8.148085
HU0344;HUE13;1824;;;
HU0345;HUE19;1824;;;
HU0346;HUE24;1824;182413;40.66315;-8.153196
HU0347;HUE25;1824;182401;40.621086;-8.177562
HU0348;HUE43;1824;182403;40.680699;-8.236236
HU0349;HUE56;1824;182409;40.702719;-8.060084
HU0350;HUE60;1824;;;
HU0351;HUE63;1824;182410;;
HU0352;HUE80;1824;182403;40.67752;-8.230474
HU0353;HUE82;1824;182413;;
HU0354;HUF07;1824;182401;40.632392;-8.200308
HU0355;HUF14;1824;;;
HU0356;HUF17;1824;182407;40.67262;-8.122331
HU0357;HUF19;1824;182403;;
HU0358;HUF51;1824;182401;40.620193;-8.210407
HU0359;HUF55;1824;182401;40.633236;-8.196367
HU0360;HUF69;1824;182401;40.645247;-8.161204
HU0361;HUF72;1824;182401;40.64597;-8.166993
HU0362;HUF82;1824;182401;40.660117;-8.192495
HU0363;HUF85;1824;182410;40.72524;-8.032984
HU0364;HUF97;1824;182415;40.710276;-8.128217
HU0365;HUG10;1824;182409;40.710353;-8.048639
HU0366;HUG34;1824;182401;40.62741;-8.191197
HU0367;HUG46;1824;182409;40.72275;-8.046065
HU0368;HUG71;1824;182410;40.711324;-8.032552
HU0369;HUG81;1824;182401;40.62506;-8.184803
HU0370;HUG84;1824;182415;40.72882;-8.107965
HU0371;HUG94;1824;182403;40.69505;-8.231745
HU0372;HUG96;1824;182411;40.67361;-8.10251
HU0373;HUH32;1824;182414;40.73059;-8.081549
HU0374;HUH37;1824;182403;40.68362;-8.231448
HU0375;HUH65;1824;182413;40.666852;-8.172982
HU0376;HUH68;1824;182415;40.691742;-8.141006
HU0377;HUH71;1824;182411;40.697675;-8.083624
HU0378;HUH88;1824;;;
HU0379;HUI22;1824;182410;40.70764;-8.019931
HU0380;HUI23;1824;182413;40.66826;-8.146842
HU0381;HUI42;1824;182413;40.66969;-8.155987
HU0382;HUI43;1824;182413;40.67491;-8.147738
HU0383;HUI47;1824;182414;40.723512;-8.07318
HU0384;HUI52;1824;;;
HU0385;HUI57;1824;182403;40.689174;-8.235178
HU0386;HUI69;1824;182411;40.697154;-8.081183
