;MUNDO: Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg 
Metais comuns e suas obras;270238841;364835647;361328541;330689147;280623450;319441981;347798122;351521445;299144951;351156843;282827565;332746413;325253586;358168331;273468967;283067426;219882610;294015017;317962459;340729883;350817248;317609516;306290093;233576533;278631109;286015125;283299258;245481987;208924212;318402794;287124025;337023096;336467227;336862225;277989057;269733314;296444015;312138192;332328521;322987655;237089973;305018338;273519793;318821614;263302275;315221273;253137394;274461519;235730916;235890892;254870786;265535029;250249480;291992065;247323846;280897876;329859967;289881385;261080814;276368694
Máquinas e aparelhos, material elétrico, e suas partes -  aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios;50726445;62740532;63372021;61231100;42119080;67197902;61516510;62292220;54637370;68807500;58085691;59511959;53045012;71574161;64435772;62044119;43522550;59659318;62102502;64375672;58600490;58928812;53682544;49306535;50323294;59228156;61996158;58217538;45345639;66836460;63609386;58196448;64261109;67068887;56330317;53103200;59611594;55879582;69889284;60005662;42930801;66652851;58858155;62568121;61555191;61119840;58536741;58298832;53520125;60103976;70655275;66314420;47592553;68147934;55439102;63190798;56894280;65175691;53372006;59690298
Material de transporte;65071258;101642543;73754883;74124396;44177613;65090184;71638900;77555947;59937507;73422272;61143022;64323040;45612141;65362801;57957072;59757149;33660750;63566393;67165015;68229235;68606358;64916513;66186111;51056553;42884423;62764905;64222605;66278439;31390462;64586236;75088724;69808927;65969870;66185956;64106439;61327817;42158391;60934280;66800219;59810554;31120056;68133104;64493890;65820488;68649605;66745482;65792139;55288574;45686479;58235923;59708290;59331866;30189189;66955308;61149293;70000468;61208353;57959015;55795197;57320844
Instrumentos e aparelhos de ótica, fotografia ou cinematografia, medida, controlo ou de precisão -  instrumentos e aparelhos médico-cirúrgicos -  artigos de relojoaria -  instrumentos musicais -  suas partes e acessórios;939697;1319849;1148765;1291745;894067;1109470;1033015;1106830;920576;1209908;933106;994395;842921;1042677;1034385;908591;690263;869365;830919;855480;913150;995706;856540;777861;895831;872850;924532;802505;635759;904292;854046;853971;856664;1098842;909753;820284;886206;1005696;1100859;883711;709208;909992;926183;965081;856775;859806;868513;767368;1061854;1281944;1320270;1226911;854785;1322669;1020777;1105367;1073629;922772;851871;888345
Armas e munições -  suas partes e acessórios;36686;56694;45342;16077;54472;40674;40313;39650;36981;38978;39789;40119;42234;28020;46902;18633;33736;55456;42359;46315;48766;66133;34215;21909;37130;47294;94495;15503;51711;79993;49027;49851;47901;74359;40609;28718;49145;71916;58538;48324;37622;69167;43351;65325;47333;19537;34436;30854;37209;46489;40158;55436;9015;38122;36269;60726;29218;64184;35845;7237
Mercadorias e produtos diversos;31122378;39866472;40161004;38289155;34096924;40605410;40454513;41677740;31375599;42498236;34712918;34931351;32115439;37523354;37849333;39832534;31868024;39425062;37201464;34250327;35279955;37760581;35568753;31828882;30387500;35286777;37694974;34684062;26699348;38722697;32993181;30260571;31970015;33856731;30775952;29267293;29036801;34224187;37488338;33127898;24747553;37488100;28743286;32172066;31345821;32879968;31218570;33106374;29283526;33021143;36662977;32601277;25276555;34276015;30403005;31365712;28811068;28763533;28144087;29645561
Objetos de arte, de coleção e antiguidades;10364772;13629655;21001119;17726023;14250032;13639850;9985004;13154719;9497124;7590881;6649543;7489394;8040139;8303833;10005138;10217992;10647809;10813794;10475787;10029589;8817627;8063209;6701785;7053615;6907414;7571737;9670098;10192003;10368603;10144235;10570439;10234407;9601544;7752754;6563900;2911646;478673;747376;725396;588199;580872;606746;608135;701897;664363;546876;597417;483826;577764;944864;710195;685453;578699;513457;611753;737263;900433;631658;528495;498772
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exportações (kg) de bens por Local de destino e Tipo de bens (Nomenclatura combinada - NC8) -  Mensal - INE, Estatísticas do comércio internacional de bens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nota(s):;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(1) Tendo em conta o acordo de saída celebrado entre a União Europeia e o Reino Unido e do Protocolo relativo à Irlanda/Irlanda do Norte, a partir de janeiro de 2021, o código de país GB deixa de ser válido, e desdobra-se em dois códigos -  código XU (Reino Unido-exceto Irlanda do Norte), e código XI  (Reino Unido - inclui Irlanda do Norte).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"(2) Dados definitivos de 2000 a 2021 e preliminares de 2022. <br/>Este indicador tem por base a classificação Nomenclatura Combinada, que é alvo de alterações anualmente, o que tornou necessária a construção de uma classificação cumulativa de todos os períodos disponibilizados. Para consulta dos códigos NC ativos em cada ano deve aceder a <a href=""http://smi.ine.pt/Versao/Detalhes/3830""target=""_blank""> http://smi.ine.pt/Versao/Detalhes/3830</a> selecionando o ano pretendido. <br/> O valor 0 (zero) associado às várias ocorrências poderá significar valor nulo, código de produto inexistente no ano em causa ou dado confidencial. <br/>A coluna do Total poderá não corresponder à soma das várias componentes, por questões de tratamento de confidencialidade. <br/> Os dados relativos a 2015 foram alvo de uma atualização extraordinária a 08/09/2017, que resulta numa alteração dos valores das exportações (Intra-UE).<br/>Os dados deste indicador relativos ao ano de 2019 do comércio Intra-UE foram atualizados a 14/05/2019.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Última atualização destes dados: 09 de dezembro de 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Metainformação associada ao quadro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exportações (kg) de bens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Designação;Exportações (kg) de bens por Local de destino e Tipo de bens (Nomenclatura combinada - NC8) -  Mensal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periodicidade;Mensal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fonte;INE, Estatísticas do comércio internacional de bens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primeiro período disponível;Janeiro de 2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Último período disponível;Outubro de 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dimensões;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Dimensão 1;Período de referência dos dados (Mês);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Dimensão 2;Local de destino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Dimensão 3;Tipo de bens (Nomenclatura combinada - NC8);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Conceitos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     PERÍODO DE REFERÊNCIA;Período de tempo a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     SAÍDA;Somatório das expedições de mercadorias efetuadas por Portugal para os restantes Estados-membros, com as exportações de Portugal para os países terceiros.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Definição;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fórmula;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidade de Medida (símbolo);Quilograma (kg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Potência de 10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data da última atualização;09-Dec-2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
